"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Council Tax Reduction in Scotland, May 2024","2024-07-00","","Statistics on number of recipients of Council Tax Reduction and the amount of reduction received, by local authority","Maria Melling
tel. 01312440875
e-mail: maria.melling@gov.scot","Monthly","Not applicable",3005,8015,False,"2024-07-01",1719792000000
"Council Tax Reduction in Scotland, June 2024","2024-08-00","","Statistics on number of recipients of Council Tax Reduction and the amount of reduction received, by local authority","Maria Melling
tel. 01312440875
e-mail: maria.melling@gov.scot","Monthly","Not applicable",3005,8015,False,"2024-08-01",1722470400000
"Council Tax Assumptions, 2024-25","2024-04-00","","Council Tax levels by band and average Council Tax per dwelling.","Maria Melling
tel. 01312440875
e-mail: maria.melling@gov.scot","Annual","Not applicable",3004,8015,False,"2024-04-01",1711929600000
"Scottish Vacant and Derelict Land Survey, Scottish Vacant and Derelict Land Survey, 2023","2024-05-00","","Survey of vacant and derelict land in Scotland.","Karren Friel
tel. 0131 244 0439
e-mail: karren.friel@gov.scot
Charles Brown
tel. 0131 244 0870
e-mail: charles.brown@gov.scot","Annual","Not applicable",3000,8023,False,"2024-05-01",1714521600000
"Planning Applications Statistics, Planning Applications Statistics (formerly Planning Performance Statistics), 2023-24, Quarterly (April to September)","2024-02-00","","Latest release of planning applications data and timescales for decisions","Karren Friel
tel. 0131 244 0439
e-mail: karren.friel@gov.scot
Charles Brown
tel. 0131 244 0870
e-mail: charles.brown@gov.scot","Biannual","Not applicable",3005,8023,False,"2024-02-01",1706745600000
"Planning Applications Statistics, Planning Application Statistics (formerly Planning Performance Statistics), 2023-24, Annual and Quarterly (October to March)","2024-07-00","","Latest release of planning applications data and timescales for decisions","Karren Friel
tel. 0131 244 0439
e-mail: karren.friel@gov.scot
Charles Brown
tel. 0131 244 0870
e-mail: charles.brown@gov.scot","Biannual","Not applicable",3005,8023,False,"2024-07-01",1719792000000
"Interim Participation Snapshot Publication 16-19 year olds, Interim Participation Snapshot Publication 16-19 year olds","2023-12-19","09:30","Participation of 16-19 year olds in learning, training and work","Conor McGarvey
tel. 0173 831 7381
e-mail: conor.mcgarvey@sds.co.uk
Christopher MacIsaac
tel. 0141 468 6705
e-mail: christopher.macisaac@sds.co.uk
Ellis Cunningham
tel. 0141 343 9334
e-mail: ellis.cunningham@sds.co.uk","Biannual","Finalised date",3001,8022,True,"2023-12-19",1702944000000
"Business Insights and Conditions Survey (BICS) Weighted Scotland Estimates, Wave 89","2023-09-01","09:30","Weighted Scotland estimates using the Office for National Statistics? (ONS?) Business Insights and Conditions Survey (BICS). The ONS? BICS is a voluntary fortnightly business survey, which captures businesses? responses on how their turnover, workforce, prices, trade and business resilience have been affected by current conditions.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Fortnightly","Not applicable",3002,8002,True,"2023-09-01",1693526400000
"Business Insights and Conditions Survey (BICS) Weighted Scotland Estimates, Wave 90","2023-09-15","09:30","Weighted Scotland estimates using the Office for National Statistics? (ONS?) Business Insights and Conditions Survey (BICS). The ONS? BICS is a voluntary fortnightly business survey, which captures businesses? responses on how their turnover, workforce, prices, trade and business resilience have been affected by current conditions.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Fortnightly","Not applicable",3002,8002,True,"2023-09-15",1694736000000
"Business Insights and Conditions Survey (BICS) Weighted Scotland Estimates, Wave 91","2023-09-29","09:30","Weighted Scotland estimates using the Office for National Statistics? (ONS?) Business Insights and Conditions Survey (BICS). The ONS? BICS is a voluntary fortnightly business survey, which captures businesses? responses on how their turnover, workforce, prices, trade and business resilience have been affected by current conditions.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Fortnightly","Not applicable",3002,8002,True,"2023-09-29",1695945600000
"Business Insights and Conditions Survey (BICS) Weighted Scotland Estimates, Wave 92","2023-10-13","09:30","Weighted Scotland estimates using the Office for National Statistics (ONS) Business Insights and Conditions Survey (BICS). The ONS BICS is a voluntary fortnightly business survey, which captures businesses responses on how their turnover, workforce, prices, trade and business resilience have been affected by current conditions.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Fortnightly","Not applicable",3002,8002,True,"2023-10-13",1697155200000
"Business Insights and Conditions Survey (BICS) Weighted Scotland Estimates, Wave 93","2023-10-27","09:30","Weighted Scotland estimates using the Office for National Statistics (ONS) Business Insights and Conditions Survey (BICS). The ONS BICS is a voluntary fortnightly business survey, which captures businesses responses on how their turnover, workforce, prices, trade and business resilience have been affected by current conditions.","Marina Curran
tel. 0131 244 6813
e-mail: marina.curran@gov.scot","Fortnightly","Not applicable",3002,8002,True,"2023-10-27",1698364800000
"Equality Statistics, Time use in Scotland 2020: Equality analysis","2023-09-12","09:30","This report analyses the Scottish component of the 2020 Online Time Use Survey (OTUS) collected by the ONS. It describes the way that time was spent in Scotland in 2020 by different population characteristics and adds to the time-use gender analysis published in December 2020. The equality analysis report focuses on the ways time use differed by several equality characteristics, and the ways these characteristics intersected with each other. This data provides an update to the 2014/15 Time Use Survey by Centre for Time Use, University of Oxford, a Scotland-specific analysis of which was published by the Scottish Government in March 2019. The survey will provide important insights into how time was spent in Scotland during the COVID-19 lockdown and subsequent restrictions, and how this time use varied depending on population characteristics, e.g. age, disability. In the survey, participants filled in online time use diaries detailing their daily activities. The main activities analysed in this report are paid work (from home or away from home), unpaid work (housework/cooking; household management; childcare; travel; study, other), free-time (e.g. watching television or hiking), and personal care (e.g. sleeping or eating).","Jon Hunter
tel. 0131 2447571
e-mail: jon.hunter@scotland.gsi.gov.uk","Ad-hoc","Finalising publication date",3002,8013,True,"2023-09-12",1694476800000
"Equality Statistics, Time use in Scotland 2023: Sex analysis","2023-10-00","","This report analyses the Scottish component of the 2023 Online Time Use Survey (OTUS) collected by the ONS. It describes the way that time was spent in Scotland in 2023 by sex. The sex analysis report focuses on the ways time use differed between men and women. This publication is part of the Time Use in Scotland time series and the data provides an update to the 2020 data published by the Scottish Government, and the 2014/15 Time Use Survey by Centre for Time Use, University of Oxford, a Scotland-specific analysis published by the Scottish Government in March 2019. The survey will provide important insights into how time was spent in Scotland in a post-pandemic period, when the public health restrictions related to COVID-19 were fully lifted. In the survey, participants filled in online time use diaries detailing their daily activities. The main activities analysed in this report are paid work (from home or away from home), unpaid work (housework/cooking; household management; childcare; travel; study, other), free-time (e.g. watching television or hiking), and personal care (e.g. sleeping or eating).","Jon Hunter
tel. 0131 2447571
e-mail: jon.hunter@scotland.gsi.gov.uk","Trienially","Not applicable",3002,8013,False,"2023-10-01",1696118400000
"Equality Statistics, Gender Equality Index 2023","2023-12-00","","Scotland?s Gender Equality Index measures progress towards gender equality in Scotland. It is designed to represent gender equality numerically, with a score of one indicating no gender equality and a score of one hundred indicating full gender equality. Gender equality is measured across a range of indicators, covering Work, Money, Time, Knowledge, Power and Health. Additional indicators on Violence Against Women and Women-Specific Healthcare are also included. The first release, showing baseline data, was published in 2020 and the next release in 2023 will measure progress over time towards gender equality in Scotland.","Jon Hunter
tel. 0131 2447571
e-mail: jon.hunter@scotland.gsi.gov.uk","Trienially","Not applicable",3005,8013,False,"2023-12-01",1701388800000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20230913","2023-09-13","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","",3002,8016,True,"2023-09-13",1694563200000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20230920","2023-09-20","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","",3002,8016,True,"2023-09-20",1695168000000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20230927","2023-09-27","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","",3002,8016,True,"2023-09-27",1695772800000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231004","2023-10-04","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-10-04",1696377600000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231011","2023-10-11","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-10-11",1696982400000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231018","2023-10-18","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-10-18",1697587200000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231025","2023-10-25","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-10-25",1698192000000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231101","2023-11-01","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-11-01",1698796800000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231108","2023-11-08","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-11-08",1699401600000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231115","2023-11-15","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-11-15",1700006400000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231122","2023-11-22","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-11-22",1700611200000
"Scottish Ambulance Service Unscheduled Care Operational Statistics, Release 20231129","2023-11-29","09:30","This release by the Scottish Ambulance Service provides a weekly update of key statistics on unscheduled care operational measures across Scotland. The information includes trends in the number of incidents, responses, conveyances to hospital, response times and hospital turnaround times.","Katy Barclay
e-mail: sas.publishedstatistics@nhs.scot","Weekly","Not applicable",3002,8016,True,"2023-11-29",1701216000000
"Scottish Out-of-Hospital Cardiac Arrest Report, Release 2022-2023","2023-10-31","09:30","The Scottish Out-of-Hospital Cardiac Arrest Report is produced by the Scottish Ambulance Service in collaboration with the Delivery Group for Scotland?s Out-of-Hospital Cardiac Arrest Strategy 2021-2026. This document summarises key clinical outcomes and progress toward the strategy aims.","Gareth Clegg, Andy Kent e-mail: sas.publishedstatistics@nhs.scot","Annual","",3004,8016,True,"2023-10-31",1698710400000
"Scotland Redress Scheme Annual Statistics, Scotland Redress Scheme Annual Statistics","2023-10-24","09:30","This publications covers performance data relating to the first 18 months since the launch of Scotland’s Redress Scheme.","Robyn Donnelly
tel. 01312441690
e-mail: robyn.donnelly@gov.scot
Rita Kanevski
tel. 01312441690
e-mail: rita.kanevski@gov.scot
Craig Kellock
tel. 01312445627
e-mail: craig.kellock@gov.scot","Annual","Not applicable",3002,8021,True,"2023-10-24",1698105600000
"Child and Adolescent Mental Health Services (CAMHS) in NHS Scotland: Characteristics of the workforce supply, September 2023","2023-09-05","09:30","Describes the characteristics of clinical staff employed in NHS Scotland CAMHS as at 30 June 2023","Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot
Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot","Quarterly","Finalised Publication Date",3005,8006,True,"2023-09-05",1693872000000
"Workforce Planning for Psychology Services in NHS Scotland - Characteristics of the Workforce within Psychology Services, September 2023","2023-09-05","09:30","Describes the characteristics of clinical staff employed in NHS Scotland Psychology Services at 30 June 2023","Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot
Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot","Quarterly","Finalised Publication Date",3005,8006,True,"2023-09-05",1693872000000
"Child and Adolescent Mental Health Services (CAMHS) in NHS Scotland: Characteristics of the workforce supply, December 2023","2023-12-05","09:30","Describes the characteristics of clinical staff employed in NHS Scotland CAMHS as at 30 September 2023","Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot
Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot","Quarterly","Finalised Date",3005,8006,True,"2023-12-05",1701734400000
"NHS Scotland Workforce, December 2023 Release","2023-12-05","09:30","Updates to NHS Scotland workforce information - Staff in post; staff turnover; vacancies for nursing and midwifery staff, allied health professions and consultants. The National Treatment Centre (NTC) workforce statistics will be released within the NHS Scotland workforce publication as Experimental Statistics - statistics in development in December 2023.","Ben Tait
tel. 01316564251
e-mail: ben.tait@nhs.scot
Morag Macpherson
tel. 01316563287
e-mail: morag.macpherson@nhs.scot
Peter Ward
tel. 01316563406
e-mail: peter.ward@nhs.scot","Quarterly","finalising date",3005,8006,True,"2023-12-05",1701734400000
"Workforce Planning for Psychology Services in NHS Scotland - Characteristics of the Workforce within Psychology Services, December 2023","2023-12-05","09:30","Describes the characteristics of clinical staff employed in NHS Scotland Psychology Services at 30 September 2023","Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot
Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot","Quarterly","Finalised Date",3005,8006,True,"2023-12-05",1701734400000
"Child and Adolescent Mental Health Services (CAMHS) in NHS Scotland: Characteristics of the workforce supply, March 2024","2024-03-00","","Describes the characteristics of clinical staff employed in NHS Scotland CAMHS as at 31 December 2023","Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot
Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-03-01",1709251200000
"NHS Scotland Workforce, March 2024 Release","2024-03-00","","Updates to NHS Scotland workforce information - Staff in post; staff turnover; vacancies for nursing and midwifery staff, allied health professions and consultants.","Ben Tait
tel. 01316564251
e-mail: ben.tait@nhs.scot
Morag Macpherson
tel. 01316563287
e-mail: morag.macpherson@nhs.scot
Peter Ward
tel. 01316563406
e-mail: peter.ward@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-03-01",1709251200000
"Workforce Planning for Psychology Services in NHS Scotland - Characteristics of the Workforce within Psychology Services, March 2024","2024-03-00","","Describes the characteristics of clinical staff employed in NHS Scotland Psychology Services at 31 December 2023","Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot
Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-03-01",1709251200000
"Child and Adolescent Mental Health Services (CAMHS) in NHS Scotland: Characteristics of the workforce supply, June 2024","2024-06-00","","Describes the characteristics of clinical staff employed in NHS Scotland CAMHS as at 31 March 2024","Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot
Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-06-01",1717200000000
"NHS Scotland Workforce, June 2024 Release","2024-06-00","","Updates to NHS Scotland workforce information - Staff in post; staff turnover; vacancies for nursing and midwifery staff, allied health professions and consultants. The National Treatment Centre (NTC) workforce statistics will be released within the NHS Scotland workforce publication as Experimental Statistics - statistics in development.","Ben Tait
tel. 01316564251
e-mail: ben.tait@nhs.scot
Morag Macpherson
tel. 01316563287
e-mail: morag.macpherson@nhs.scot
Peter Ward
tel. 01316563406
e-mail: peter.ward@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-06-01",1717200000000
"Workforce Planning for Psychology Services in NHS Scotland - Characteristics of the Workforce within Psychology Services, June 2024","2024-06-00","","Describes the characteristics of clinical staff employed in NHS Scotland Psychology Services at 31 March 2024","Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot
Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-06-01",1717200000000
"Child and Adolescent Mental Health Services (CAMHS) in NHS Scotland: Characteristics of the workforce supply, September 2024","2024-09-00","","Describes the characteristics of clinical staff employed in NHS Scotland CAMHS as at 30 June 2024","Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot
Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-09-01",1725148800000
"NHS Scotland Workforce, September 2024 Release","2024-09-00","","Updates to NHS Scotland workforce information - Staff in post; staff turnover; vacancies for nursing and midwifery staff, allied health professions and consultants.","Ben Tait
tel. 01316564251
e-mail: ben.tait@nhs.scot
Morag Macpherson
tel. 01316563287
e-mail: morag.macpherson@nhs.scot
Peter Ward
tel. 01316563406
e-mail: peter.ward@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-09-01",1725148800000
"Workforce Planning for Psychology Services in NHS Scotland - Characteristics of the Workforce within Psychology Services, September 2024","2024-09-00","","Describes the characteristics of clinical staff employed in NHS Scotland Psychology Services at 30 June 2024","Liz Jamieson
tel. 0131 656 3301
e-mail: liz.jamieson@nhs.scot
Anita George
tel. 0131 275 6497
e-mail: anita.george@nhs.scot","Quarterly","Not applicable",3005,8006,False,"2024-09-01",1725148800000
"ARHAI Scotland Annual Report , ARHAI Scotland 2022 Annual Report","2023-09-19","09:30","The purpose of this report is to present the outputs of ARHAI Scotland programmes to reduce HCAI, including surveillance and development of guidance and tools. This report details the ARHAI Scotland's role in the national COVID-19 response to the pandemic as well as the progress made by ARHAI Scotland to support the reduction of HCAIs in NHS Scotland.","Fiona Murdoch
tel. 0141 300 1150
e-mail: fiona.murdoch3@nhs.scot","Annual","Not applicable",3005,8009,True,"2023-09-19",1695081600000
"Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland, Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland. April to June 2023","2023-10-03","09:30","Quarterly epidemiological commentary on CDI, ECB, SAB and SSI in Scotland. For CDI, ECB and SAB, data (case numbers, incidence rates, funnel plots and typing data (CDI only)) are provided for both healthcare and community-associated cases. SSI incidence data are provided for hip arthroplasty and C-section procedures. Supplementary data is provided as a separate link contained in the report.","Fiona Murdoch
tel. 0141 300 1150
e-mail: fiona.murdoch3@nhs.scot","Quarterly","Finalised publication date added",3005,8009,True,"2023-10-03",1696291200000
"Scottish One Health Antimicrobial Use and Antimicrobial Resistance, Scottish One Health Antimicrobial Use and Antimicrobial Resistance 2022","2023-11-21","09:30","Provides an annual overview of antimicrobial use and prescribing both in human and animal treatment and of levels of antimicrobial resistance in organisms of concern in healthcare associate infection, sexually transmitted infections, gastrointestinal and veterinary infections.","Julie Wilson
tel. 01412822911
e-mail: julie.wilson7@nhs.scot","Annual","Not applicable",3005,8009,True,"2023-11-21",1700524800000
"Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland, Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland. July to September 2023","2024-01-16","09:30","Quarterly epidemiological commentary on CDI, ECB, SAB and SSI in Scotland. For CDI, ECB and SAB, data (case numbers, incidence rates, funnel plots and typing data (CDI only)) are provided for both healthcare and community-associated cases. SSI incidence data are provided for hip arthroplasty and C-section procedures. Supplementary data is provided as a separate link contained in the report.","Fiona Murdoch
tel. 0141 300 1150
e-mail: fiona.murdoch3@nhs.scot","Quarterly","Finalised publication date added",3005,8009,True,"2024-01-16",1705363200000
"Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland, Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland. October to December 2023","2024-04-00","","Quarterly epidemiological commentary on CDI, ECB, SAB and SSI in Scotland. For CDI, ECB and SAB, data (case numbers, incidence rates, funnel plots and typing data (CDI only)) are provided for both healthcare and community-associated cases. SSI incidence data are provided for hip arthroplasty and C-section procedures. Supplementary data is provided as a separate link contained in the report.","Fiona Murdoch
tel. 0141 300 1150
e-mail: fiona.murdoch3@nhs.scot","Quarterly","Not applicable",3005,8009,False,"2024-04-01",1711929600000
"Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland, Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland - January to March 2024","2024-07-00","","Quarterly epidemiological commentary on CDI, ECB, SAB and SSI in Scotland. For CDI, ECB and SAB, data (case numbers, incidence rates, funnel plots and typing data (CDI only)) are provided for both healthcare and community-associated cases. SSI incidence data are provided for hip arthroplasty and C-section procedures. Supplementary data is provided as a separate link contained in the report.","Fiona Murdoch
tel. 0141 300 1150
e-mail: fiona.murdoch3@nhs.scot","Quarterly","Not applicable",3005,8009,False,"2024-07-01",1719792000000
"Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland, Quarterly epidemiological data on Clostridioides difficile infection, Escherichia coli bacteraemia, Staphylococcus aureus bacteraemia and Surgical Site Infection in Scotland. April to June 2024","2024-10-00","","Quarterly epidemiological commentary on CDI, ECB, SAB and SSI in Scotland. For CDI, ECB and SAB, data (case numbers, incidence rates, funnel plots and typing data (CDI only)) are provided for both healthcare and community-associated cases. SSI incidence data are provided for hip arthroplasty and C-section procedures. Supplementary data is provided as a separate link contained in the report.","Fiona Murdoch
tel. 0141 300 1150
e-mail: fiona.murdoch3@nhs.scot","Quarterly","Not applicable",3005,8009,False,"2024-10-01",1727740800000
"Weekly Norovirus Report, 7 September 2023","2023-09-07","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-09-07",1694044800000
"Weekly Norovirus Report, 14 September 2023","2023-09-14","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-09-14",1694649600000
"Weekly Norovirus Report, 21 September 2023","2023-09-21","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-09-21",1695254400000
"Weekly Norovirus Report, 28 September 2023","2023-09-28","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-09-28",1695859200000
"Weekly Norovirus Report, 5 October 2023","2023-10-05","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-10-05",1696464000000
"Weekly Norovirus Report, 12 October 2023","2023-10-12","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-10-12",1697068800000
"Weekly Norovirus Report, 19 October 2023","2023-10-19","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-10-19",1697673600000
"Weekly Norovirus Report, 26 October 2023","2023-10-26","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-10-26",1698278400000
"Weekly Norovirus Report, 2 November 2023","2023-11-02","09:30","This report is to help NHS boards and others with outbreak preparedness and impact assessment particularly during the winter months when norovirus numbers start to increase. The report provides data on: The number of hospital wards affected by norovirus outbreaks as at the date specified; The number of positive laboratory reports of norovirus up to the current week (during seasonal peak).","Caroline Creasey
tel. 0141 300 1158
e-mail: caroline.creasey@nhs.scot","Weekly","Not applicable",3004,8009,True,"2023-11-02",1698883200000
